cur_sna_20m_0163,-2.2408106,19.8757629,-18.399918,,ALAM,FW,,FALSE,ALAM
cur_sna_20m_0164,23.609951,-79.327507,22.5516472,,CNAT,FW,,TRUE,CNAT
cur_sna_20m_0165,23.7306595,-76.419861,22.5417767,,CNAT,FW,,FALSE,CNAT
cur_sna_20m_0166,23.851368,-73.791588,20.0493965,,CNAT,FW,,TRUE,CNAT
cur_sna_20m_0167,3.15011048,-25.992237,-0.4453649,,CNAT,FW,RARE,TRUE,CNAT
cur_sna_20m_0168,42.8095551,-128.58447,46.2782288,,CNAT,FW,,TRUE,CNAT
cur_sna_20m_0169,31.7043037,-89.896019,28.6911163,,CNAT,FW,,TRUE,CNAT
cur_sna_20m_0170,21.4645138,-65.630424,17.7991943,,CNAT,FW,,TRUE,CNAT
cur_sna_20m_0171,23.733696,-46.3587,12.7772331,,CNAT,FW,RARE,TRUE,CNAT
cur_sna_20m_0172,38.0745621,-149.69873,49.19347,,EFAS,FW,,FALSE,EFAS
cur_sna_20m_0173,36.6533813,-149.89992,49.2086525,,EFAS,FW,,TRUE,EFAS
cur_sna_20m_0174,44.8456688,-146.28242,50.8970642,,EFAS,FW,,TRUE,EFAS
cur_sna_20m_0175,38.3721619,-141.13521,51.3047447,,EFAS,FW,,FALSE,EFAS
cur_sna_20m_0176,38.093544,-138.51225,49.5024567,,EFAS,FW,,TRUE,EFAS
cur_sna_20m_0177,29.0593281,-141.81543,47.1505241,,EFAS,FW,,TRUE,EFAS
cur_sna_20m_0178,24.6948147,-110.55932,30.1699944,,EFAS,FW,,TRUE,EFAS
cur_sna_20m_0179,24.000927,-109.80622,30.1373501,,EFAS,FW,NOISE,TRUE,EFAS
cur_sna_20m_0180,29.1079159,-104.04633,32.7808075,,EFAS,FW,,TRUE,EFAS
cur_sna_20m_0181,18.6358185,-87.621529,21.6170998,,EFAS,FW,,FALSE,AAGA
cur_sna_20m_0182,15.7084284,-85.685623,19.4898834,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0183,21.627737,-72.119873,17.4211235,,EFAS,FW,,FALSE,EFAS
cur_sna_20m_0184,3.82350111,-41.569046,4.15525198,,EFAS,FW,,TRUE,EFAS
cur_sna_20m_0185,8.06426811,-29.902761,3.68532109,,EFAS,FW,,FALSE,EFAS
cur_sna_20m_0186,4.5728097,-25.025045,0.11490823,,EFAS,FW,,FALSE,EFAS
cur_sna_20m_0187,-0.6784229,-25.236855,-0.6101065,,EFAS,FW,NOISE,TRUE,EFAS
cur_sna_20m_0188,-2.8132305,-21.573063,-3.5625486,,EFAS,FW,,TRUE,EFAS
cur_sna_20m_0189,39.6293602,-130.29034,44.2679253,,EFAS,FW,,TRUE,EFAS
